Accession	Protein	MW [kDa]	pI	Rank	Peptides	Scores	SpecCount	SeqCov	Vorkommen	vIa_30min	20a_30min	40a_30min	60a_30min	80a_30min	vIb_120min	20b_120min	40b_120min	60b_120min	80b_120min
gi|170683451	aconitate hydratase 2 [Escherichia coli SMS-3-5]	90,5	5,1	11	34	2078.8 (M:2078.8)	233	51,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	17	15	15	15	12	33	28	35	37	26
gi|26250759	DNA-directed RNA polymerase subunit beta' [Escherichia coli CFT073]	154,7	6,7	12	36	2035.0 (M:2035.0)	144	35,5	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	19	12	4	6		36	22	20	24	1
gi|15804332	F0F1 ATP synthase subunit beta [Escherichia coli O157:H7 EDL933]	50,3	4,8	13	29	1933.5 (M:1933.5)	260	81,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	20	18	24	18	20	36	33	32	29	30
gi|15829780	heat shock protein 90 [Escherichia coli O157:H7 str. Sakai]	71,4	5	14	29	1788.1 (M:1788.1)	221	58,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	14	15	13	19	32	29	28	31	28
gi|91209509	trigger factor [Escherichia coli UTI89]	47,8	4,7	15	29	1722.3 (M:1722.3)	275	62,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	23	25	19	20	14	33	38	38	28	37
gi|147365	ATP-dependent protease binding subunit [Escherichia coli]	95,5	5,2	16	30	1611.8 (M:1611.8)	132	48	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	5	4	6	4	21	21	23	20	21
gi|15833970	transcription termination factor Rho [Escherichia coli O157:H7 str. Sakai]	47	6,9	17	27	1587.5 (M:1587.5)	199	62,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	17	18	15	11	16	29	27	24	21	21
gi|16130604	alanyl-tRNA synthetase [Escherichia coli str. K-12 substr. MG1655]	96	5,5	18	27	1551.3 (M:1551.3)	130	39,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	11	4	5	5	23	20	17	16	17
gi|15804334	F0F1 ATP synthase subunit alpha [Escherichia coli O157:H7 EDL933]	55,2	5,7	19	20	1493.4 (M:1493.4)	182	50,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	17	14	12	9	11	28	27	28	17	19
gi|16131430	glycine tRNA synthetase, beta subunit [Escherichia coli str. K-12 substr. MG1655]	76,8	5,2	20	27	1491.8 (M:1491.8)	127	51,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	15	8	3	4	2	21	22	20	16	16
gi|215485279	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2 [Escherichia coli O127:H6 str. E2348/69]	66	4,9	21	23	1458.3 (M:1458.3)	148	43,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	20	14	11	9	10	23	17	17	12	15
gi|15833303	translation initiation factor IF-2 [Escherichia coli O157:H7 str. Sakai]	97,3	5,7	22	26	1355.9 (M:1355.9)	137	38,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	9	3	4	4	27	22	20	23	13
gi|218693809	DNA-binding transcriptional repressor [Escherichia coli 55989]	38,5	6,4	23	20	1348.0 (M:1348.0)	186	55,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	13	16	12	12	14	26	25	25	19	24
gi|442946	Chain G, Structure Of The Regulatory Complex Of Escherichia Coli Iiiglc With Glycerol Kinase	56,1	5,2	24	25	1346.0 (M:1346.0)	145	49,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	14	13	11	10	7	24	22	16	13	15
gi|6730181	Chain A, Crystal Structure Of C418a,C419a Mutant Of Pfl From E.Coli	85,1	5,6	25	26	1319.4 (M:1319.4)	97	47,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	7	2	3	2	23	16	13	11	8
gi|33383669	isocitrate dehydrogenase [Escherichia coli]	42,9	5,2	26	22	1276.1 (M:1276.1)	158	53,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	11	12	12	13	14	20	23	20	17	16
gi|157156008	prolyl-tRNA synthetase [Escherichia coli E24377A]	63,6	4,9	27	19	1258.1 (M:1258.1)	95	49,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	6	5	4	4	15	17	13	12	10
gi|215485746	succinyl-CoA synthetase, beta subunit [Escherichia coli O127:H6 str. E2348/69]	41,4	5,2	28	20	1254.9 (M:1254.9)	167	53,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	13	12	9	15	13	21	25	26	25
gi|26249747	polynucleotide phosphorylase/polyadenylase [Escherichia coli CFT073]	80,5	5,3	29	24	1230.9 (M:1230.9)	120	39,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	11	12	7	6	7	13	21	15	13	15
gi|15801003	trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase [Escherichia coli O157:H7 EDL933]	143,6	5,5	30	26	1222.9 (M:1222.9)	77	30	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	5	2	2		11	14	15	18	6
gi|1942722	Chain B, Elongation Factor Complex Ef-TuEF-Ts From Escherichia Coli	30,3	5,1	31	22	1143.8 (M:1143.8)	179	74,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	13	17	12	10	11	20	27	22	21	26
gi|15799800	dihydrolipoamide dehydrogenase [Escherichia coli O157:H7 EDL933]	50,7	5,8	32	19	1136.6 (M:1136.6)	180	39,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	13	15	13	14	25	25	20	24	19
gi|170683458	6-phosphogluconate dehydrogenase, decarboxylating [Escherichia coli SMS-3-5]	51,5	4,8	33	18	1086.0 (M:1086.0)	87	51,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	6	3	2	4	12	13	15	11	11
gi|15799851	30S ribosomal protein S2 [Escherichia coli O157:H7 EDL933]	26,7	6,7	34	20	1080.6 (M:1080.6)	206	80,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	16	19	17	17	16	30	26	19	17	29
gi|157162385	phosphoglycerate kinase [Escherichia coli HS]	41,1	4,9	35	16	1074.6 (M:1074.6)	132	50,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	15	9	8	10	19	16	14	16	13
gi|15803770	malate dehydrogenase [Escherichia coli O157:H7 EDL933]	32,3	5,5	36	16	1056.8 (M:1056.8)	169	60,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	13	17	12	7	13	19	25	26	15	22
gi|6729727	Chain A, Ompf Porin Mutant D74a	37	4,5	37	20	1052.3 (M:1052.3)	223	67,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	12	11	12	14	26	27	27	38	46
gi|15803711	transcription elongation factor NusA [Escherichia coli O157:H7 EDL933]	54,8	4,4	38	16	1049.2 (M:1049.2)	100	45,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	9	8	7	7	15	12	10	11	9
gi|15803300	phosphopyruvate hydratase [Escherichia coli O157:H7 EDL933]	45,5	5,2	39	15	1046.7 (M:1046.7)	152	47,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	13	13	7	4	5	29	25	18	17	21
gi|15800427	succinate dehydrogenase flavoprotein subunit [Escherichia coli O157:H7 EDL933]	64,3	5,9	40	16	1027.2 (M:1027.2)	119	34,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	6	11	10	9	12	16	16	12	19
gi|134104925	Chain A, E. Coli 2-Oxoglutarate Dehydrogenase (E1o)	105	6,1	41	23	1026.4 (M:1026.4)	117	32,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	9	7	10	1	18	18	15	19	15
gi|147491	6-phosphogluconate dehydrogenase	51,5	5	42	19	1017.3 (M:1017.3)	84	52,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	5	4	1	4	12	13	16	11	9
gi|15799779	cell division protein FtsZ [Escherichia coli O157:H7 EDL933]	40,3	4,5	43	16	1008.6 (M:1008.6)	101	62,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	8	4	5	6	17	17	13	12	14
gi|195927352	Chain A, Structure Of E.Coli Gapdh Rat Sperm Gapdh Heterotetramer	35,3	6,7	44	19	996.4 (M:996.4)	242	56,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	14	15	11	10	9	37	52	46	26	22
gi|116667432	Chain 2, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	23,5	10	45	13	993.8 (M:993.8)	196	67,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	15	12	10	10	11	30	28	26	26	28
gi|15802947	cysteine synthase A [Escherichia coli O157:H7 EDL933]	34,5	5,8	46	13	980.3 (M:980.3)	114	68,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	9	12	8	9	14	12	14	11	16
gi|116667438	Chain D, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	20,1	10	47	17	947.2 (M:947.2)	158	64,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	9	12	6	10	27	23	17	22	22
gi|11513774	Chain A, Lysyl-Trna Synthetase (Lyss) Complexed With Lysine	57,4	5	48	22	939.1 (M:939.1)	81	53	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	4		2	1	16	15	14	16	8
gi|7245635	Chain A, Trigonal Crystal Form Of Heat Shock Locus U (Hslu) From Escherichia Coli	49,4	5,1	49	16	929.2 (M:929.2)	86	42,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	6	5	6	5	10	13	14	13	9
gi|6573338	Chain A, Crystal Structure Of The E. Coli Aspartyl-Trna Synthetase : Trnaasp : Aspartyl-Adenylate Complex	65,3	5,4	50	19	922.2 (M:922.2)	74	39,8	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	9	4	1		15	10	10	10	6
gi|1359438	phosphoacetyltransferase [Escherichia coli]	77,1	5,1	51	15	921.0 (M:921.0)	61	30	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	8	3	1	1	10	10	8	7	4
gi|209919073	phenylalanyl-tRNA synthase beta subunit [Escherichia coli SE11]	87,2	5	52	14	905.7 (M:905.7)	49	25	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3	1			15	8	9	7	2
gi|218695174	fumarate hydratase (fumarase A), aerobic Class I [Escherichia coli 55989]	60,2	6	53	15	896.8 (M:896.8)	80	41,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	6	5	4	5	10	11	10	18	7
gi|157161771	NADH dehydrogenase subunit G [Escherichia coli HS]	100,2	5,8	54	18	891.0 (M:891.0)	65	26,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	3	2	1	3	15	13	13	7	3
gi|42812	unnamed protein product [Escherichia coli]	36,4	4,8	55	15	879.6 (M:879.6)	160	51,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	14	12	11	4	11	27	22	17	16	26
gi|82542626	transaldolase B [Shigella boydii Sb227]	35,2	5	56	15	868.4 (M:868.4)	103	59,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	10	9	4	7	12	14	11	15	16
gi|15800428	succinate dehydrogenase iron-sulfur subunit [Escherichia coli O157:H7 EDL933]	26,8	6,4	57	14	858.2 (M:858.2)	81	46,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	6	7	5	4	9	10	13	8	15
gi|5542174	Chain A, Structure Of The Mutant (R143l) Of Adenylosuccinate Synthetase From E. Coli Complexed With Hadacidin, Gdp, 6- Phosphoryl-Imp, And Mg2+	47,1	5,1	58	14	845.0 (M:845.0)	86	45,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	7	2	4	4	15	16	12	9	11
gi|21307716	putative outer membrane protein Vpr [Escherichia coli]	90,5	4,8	59	17	827.9 (M:827.9)	43	29	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1				8	12	12	7	1
gi|26250449	tryptophanase [Escherichia coli CFT073]	53,4	5,8	60	16	819.5 (M:819.5)	89	41	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	5	6	5	4	9	13	14	13	12
gi|15803907	phosphoenolpyruvate carboxykinase [Escherichia coli O157:H7 EDL933]	59,5	5,4	61	13	815.4 (M:815.4)	96	34,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	9	7	4	8	11	14	11	12	12
gi|11513365	Chain A, Aspartate Aminotransferase Active Site Mutant N194aR386L	43,5	5,3	62	16	814.7 (M:814.7)	84	49	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	11	7	6	7	10	8	5	13	10
gi|157159202	oligopeptidase A [Escherichia coli E24377A]	77,1	5	63	16	811.6 (M:811.6)	59	32,5	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2	3		1	13	12	8	10	6
gi|194437248	lysyl-tRNA synthetase LysU [Escherichia coli 101-1]	57,8	5	64	18	807.5 (M:807.5)	62	38,8	vIa_30min,20a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3		1		15	13	11	9	7
gi|15800431	dihydrolipoamide acetyltransferase [Escherichia coli O157:H7 EDL933]	44	5,5	65	14	795.6 (M:795.6)	98	36,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	5	8	5	7	11	13	14	15	15
gi|16128897	asparaginyl tRNA synthetase [Escherichia coli str. K-12 substr. MG1655]	52,5	5	66	13	793.4 (M:793.4)	72	36,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	6	4	1	4	12	12	6	11	10
gi|30064248	transketolase [Shigella flexneri 2a str. 2457T]	72,1	5,4	67	15	793.1 (M:793.1)	87	32,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	5	3	3	5	11	14	16	14	11
gi|194435964	putative tagatose-6-phosphate kinase [Escherichia coli 101-1]	47	5,4	68	14	787.2 (M:787.2)	117	37,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	7	7	6	7	18	19	15	15	13
gi|2914323	Chain A, X-Ray Structure Of Escherichia Coli Enoyl Reductase With Bound Nad And Benzo-Diazaborine	27,7	5,5	69	13	785.0 (M:785.0)	80	49	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	7	6	5	6	8	11	7	9	13
gi|16131632	ketol-acid reductoisomerase, NAD(P)-binding [Escherichia coli str. K-12 substr. MG1655]	54	5,1	70	17	782.2 (M:782.2)	67	43,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	8	3	3	1	13	9	10	7	3
gi|116667439	Chain E, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	17,8	10	71	12	774.5 (M:774.5)	140	83,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	11	6	6	6	22	24	16	19	20
gi|194438570	phosphoenolpyruvate synthase [Escherichia coli 101-1]	87,3	4,8	72	14	765.2 (M:765.2)	36	23,7	20a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		3			1	7	7	7	8	3
gi|146851	S-adenosylmethionine synthetase II	41,7	5	73	11	727.1 (M:727.1)	95	48,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	6	7	7	4	14	13	14	11	10
gi|15804792	50S ribosomal protein L9 [Escherichia coli O157:H7 EDL933]	15,8	6,2	74	13	724.3 (M:724.3)	151	83,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	11	13	11	10	9	20	25	20	16	16
gi|30063920	cysteine desulfurase [Shigella flexneri 2a str. 2457T]	45,1	5,9	75	14	719.4 (M:719.4)	78	40,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	8	6	5	7	7	8	7	13	8
gi|194438187	aminoacyl-histidine dipeptidase [Escherichia coli 101-1]	52,9	5,2	76	15	718.3 (M:718.3)	78	44,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	8	4	4	3	11	10	10	14	7
gi|188495956	ribosomal protein S6 [Escherichia coli 53638]	15,2	5,1	77	13	702.3 (M:702.3)	88	82,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	9	9	5	9	11	12	7	9	11
gi|33357882	Chain E, Real Space Refined Coordinates Of The 30s Subunit Fitted Into The Low Resolution Cryo-Em Map Of The Ef-G.Gtp State Of E. Coli 70s Ribosome	17,5	10,6	78	20	696.0 (M:696.0)	110	57,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	8	8	7	6	18	18	6	13	17
gi|15801465	global DNA-binding transcriptional dual regulator H-NS [Escherichia coli O157:H7 EDL933]	15,5	5,3	79	13	695.3 (M:695.3)	123	73	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	9	8	6	7	19	22	22	11	12
gi|89109329	aminopeptidase B [Escherichia coli W3110]	46,2	5,5	80	9	686.5 (M:686.5)	35	36,3	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1	1			12	6	8	3	2
gi|15800320	alkyl hydroperoxide reductase subunit C [Escherichia coli O157:H7 EDL933]	20,7	4,9	81	11	682.6 (M:682.6)	96	58,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	7	4	3	4	11	19	10	16	14
gi|49176404	dihydroxyacid dehydratase [Escherichia coli str. K-12 substr. MG1655]	65,5	5,5	82	11	681.5 (M:681.5)	41	23,7	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1			6	9	10	7	2
gi|15799848	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [Escherichia coli O157:H7 EDL933]	29,9	5,4	83	10	669.5 (M:669.5)	78	39,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	6	7	3	5	14	13	9	6	10
gi|110640735	adenylate kinase [Escherichia coli 536]	23,5	5,7	84	12	668.6 (M:668.6)	70	54,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	8	9	6	4	4	6	11	6	8	8
gi|38704234	aspartate ammonia-lyase [Escherichia coli O157:H7 str. Sakai]	52,3	5,1	85	12	665.6 (M:665.6)	80	30,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	5	5	1	6	10	15	12	10	12
gi|15803847	50S ribosomal protein L3 [Escherichia coli O157:H7 EDL933]	22,2	10,4	86	10	660.9 (M:660.9)	134	64,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	9	9	4	5	4	23	25	26	15	14
gi|91210889	pyruvate kinase [Escherichia coli UTI89]	58,7	6,7	87	13	660.8 (M:660.8)	60	35,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	4	4	1	1	10	10	6	9	9
gi|16129670	phenylalanine tRNA synthetase, alpha subunit [Escherichia coli str. K-12 substr. MG1655]	36,8	5,8	88	13	659.4 (M:659.4)	46	45	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	8	2			8	6	5	7	5
gi|15799867	acetyl-CoA carboxylase carboxyltransferase subunit alpha [Escherichia coli O157:H7 EDL933]	35,2	5,7	89	8	659.0 (M:659.0)	64	40,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	6	4	4	5	8	6	11	7	9
gi|33357885	Chain H, Real Space Refined Coordinates Of The 30s Subunit Fitted Into The Low Resolution Cryo-Em Map Of The Ef-G.Gtp State Of E. Coli 70s Ribosome	14	10	90	18	658.8 (M:658.8)	111	50,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	9	4	7	7	9	21	18	10	20
